"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    Test that cart displays correct item details (name and price).
    Verifies that item information is accurate in the cart.
    ","1214","test_cart_item_details[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that empty password field shows error message.
    Verifies validation for empty password input.
    ","913","test_empty_password[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that products can be sorted Z-A by name.
    Verifies that products are in reverse alphabetical order.
    ","927","test_sort_products_za[chromium]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that inventory page loads with all 6 products visible.
    Verifies that product list is displayed after login.
    ","900","test_inventory_page_loads[chromium]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that products can be sorted A-Z by name.
    Verifies that products are in alphabetical order.
    ","1104","test_sort_products_az[webkit]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that products can be sorted A-Z by name.
    Verifies that products are in alphabetical order.
    ","939","test_sort_products_az[chromium]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that user can navigate away from checkout and cart persists.
    Verifies that canceling checkout doesn't lose cart items.
    ","2328","test_checkout_cancel[webkit]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that user can add a single item to cart.
    Verifies that cart count increments to 1.
    ","1588","test_add_single_item_to_cart[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that user can add product to cart from product detail page.
    Verifies that add to cart button works on detail page.
    ","1689","test_add_product_from_detail_page[firefox]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that user can continue shopping from cart page.
    Verifies that continue shopping button returns to inventory.
    ","1300","test_continue_shopping[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that products can be sorted A-Z by name.
    Verifies that products are in alphabetical order.
    ","1048","test_sort_products_az[firefox]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that cart badge updates with each item addition.
    Verifies that badge count is accurate.
    ","1347","test_cart_badge_updates[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that user can add product to cart from product detail page.
    Verifies that add to cart button works on detail page.
    ","1734","test_add_product_from_detail_page[webkit]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that a standard user can successfully login.
    Verifies that the inventory page loads after login.
    ","950","test_valid_login_standard_user[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that products can be sorted Z-A by name.
    Verifies that products are in reverse alphabetical order.
    ","1113","test_sort_products_za[firefox]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that products can be sorted by price low to high.
    Verifies that prices are in ascending order.
    ","1037","test_sort_by_price_low_high[webkit]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that cart displays correct item details (name and price).
    Verifies that item information is accurate in the cart.
    ","1021","test_cart_item_details[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test complete end-to-end checkout flow.
    Verifies full journey: login → add items → checkout → confirmation.
    ","1600","test_complete_checkout_flow[firefox]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that clicking on a product navigates to product detail page.
    Verifies that product detail page loads with correct product information.
    ","1091","test_product_detail_page[webkit]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that missing zip code shows validation error.
    Verifies form validation for required zip code field.
    ","1503","test_missing_zip_code[firefox]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that user can logout and return to login page.
    Verifies that logout functionality works correctly.
    ","1967","test_logout[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that clicking on a product navigates to product detail page.
    Verifies that product detail page loads with correct product information.
    ","1186","test_product_detail_page[firefox]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that invalid username shows error message.
    Verifies that login fails with non-existent username.
    ","5921","test_invalid_username[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that order total is correctly calculated.
    Verifies that total = subtotal + tax.
    ","1418","test_verify_order_total[webkit]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that user can add a single item to cart.
    Verifies that cart count increments to 1.
    ","1094","test_add_single_item_to_cart[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that a standard user can successfully login.
    Verifies that the inventory page loads after login.
    ","948","test_valid_login_standard_user[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test complete end-to-end checkout flow.
    Verifies full journey: login → add items → checkout → confirmation.
    ","1493","test_complete_checkout_flow[webkit]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that a locked out user cannot login and sees appropriate error message.
    Verifies error handling for locked user accounts.
    ","5953","test_locked_out_user[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that missing first name shows validation error.
    Verifies form validation for required first name field.
    ","1375","test_missing_first_name[webkit]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that both empty fields show error message.
    Verifies validation when username and password are both empty.
    ","1057","test_both_fields_empty[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that user can continue shopping from cart page.
    Verifies that continue shopping button returns to inventory.
    ","1083","test_continue_shopping[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that products can be sorted by price high to low.
    Verifies that prices are in descending order.
    ","1040","test_sort_by_price_high_low[webkit]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test checkout behavior when cart is empty.
    Verifies that user cannot proceed to checkout with empty cart.
    ","1065","test_checkout_without_items[firefox]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that user can remove all items from cart.
    Verifies that cart becomes empty after removing multiple items.
    ","2105","test_remove_all_items[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that clicking on a product navigates to product detail page.
    Verifies that product detail page loads with correct product information.
    ","973","test_product_detail_page[chromium]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that both empty fields show error message.
    Verifies validation when username and password are both empty.
    ","997","test_both_fields_empty[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that a locked out user cannot login and sees appropriate error message.
    Verifies error handling for locked user accounts.
    ","5921","test_locked_out_user[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that user can remove items from cart.
    Verifies that cart is empty after removing all items.
    ","1779","test_remove_item_from_cart[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that a standard user can successfully login.
    Verifies that the inventory page loads after login.
    ","884","test_valid_login_standard_user[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that user can add multiple items to cart.
    Verifies that cart count increments correctly with each addition.
    ","1376","test_add_multiple_items_to_cart[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that missing first name shows validation error.
    Verifies form validation for required first name field.
    ","1174","test_missing_first_name[chromium]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that user can navigate away from checkout and cart persists.
    Verifies that canceling checkout doesn't lose cart items.
    ","1590","test_checkout_cancel[firefox]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that cart items persist after navigating away and back.
    Verifies that cart data is maintained across page navigation.
    ","1392","test_cart_persists_after_navigation[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that user can remove all items from cart.
    Verifies that cart becomes empty after removing multiple items.
    ","1864","test_remove_all_items[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that empty username field shows error message.
    Verifies validation for empty username input.
    ","964","test_empty_username[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that empty password field shows error message.
    Verifies validation for empty password input.
    ","916","test_empty_password[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that cart badge updates with each item addition.
    Verifies that badge count is accurate.
    ","1141","test_cart_badge_updates[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that products can be sorted by price low to high.
    Verifies that prices are in ascending order.
    ","1119","test_sort_by_price_low_high[firefox]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that user can remove items from cart.
    Verifies that cart is empty after removing all items.
    ","1879","test_remove_item_from_cart[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test that cart badge updates with each item addition.
    Verifies that badge count is accurate.
    ","1280","test_cart_badge_updates[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test complete end-to-end checkout flow.
    Verifies full journey: login → add items → checkout → confirmation.
    ","1289","test_complete_checkout_flow[chromium]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that both empty fields show error message.
    Verifies validation when username and password are both empty.
    ","839","test_both_fields_empty[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that cart displays correct item details (name and price).
    Verifies that item information is accurate in the cart.
    ","1233","test_cart_item_details[firefox]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test checkout behavior when cart is empty.
    Verifies that user cannot proceed to checkout with empty cart.
    ","1005","test_checkout_without_items[webkit]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that products can be sorted Z-A by name.
    Verifies that products are in reverse alphabetical order.
    ","1045","test_sort_products_za[webkit]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that invalid password shows error message.
    Verifies that login fails with incorrect password.
    ","5865","test_invalid_password[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that a locked out user cannot login and sees appropriate error message.
    Verifies error handling for locked user accounts.
    ","5870","test_locked_out_user[chromium]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that user can navigate away from checkout and cart persists.
    Verifies that canceling checkout doesn't lose cart items.
    ","2139","test_checkout_cancel[chromium]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that inventory page loads with all 6 products visible.
    Verifies that product list is displayed after login.
    ","1077","test_inventory_page_loads[firefox]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that missing zip code shows validation error.
    Verifies form validation for required zip code field.
    ","1484","test_missing_zip_code[webkit]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that missing first name shows validation error.
    Verifies form validation for required first name field.
    ","1483","test_missing_first_name[firefox]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that inventory page loads with all 6 products visible.
    Verifies that product list is displayed after login.
    ","1058","test_inventory_page_loads[webkit]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that invalid password shows error message.
    Verifies that login fails with incorrect password.
    ","5996","test_invalid_password[webkit]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that user can remove items from cart.
    Verifies that cart is empty after removing all items.
    ","1588","test_remove_item_from_cart[chromium]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
"
    Test checkout behavior when cart is empty.
    Verifies that user cannot proceed to checkout with empty cart.
    ","893","test_checkout_without_items[chromium]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that missing zip code shows validation error.
    Verifies form validation for required zip code field.
    ","1172","test_missing_zip_code[chromium]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that invalid username shows error message.
    Verifies that login fails with non-existent username.
    ","6239","test_invalid_username[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that order total is correctly calculated.
    Verifies that total = subtotal + tax.
    ","1542","test_verify_order_total[firefox]","tests","2026-08-15","passed","2026-08-15","","test_checkout","",""
"
    Test that user can logout and return to login page.
    Verifies that logout functionality works correctly.
    ","2811","test_logout[firefox]","tests","2026-08-15","passed","2026-08-15","","test_login","",""
"
    Test that products can be sorted by price high to low.
    Verifies that prices are in descending order.
    ","939","test_sort_by_price_high_low[chromium]","tests","2026-08-15","passed","2026-08-15","","test_inventory","",""
"
    Test that user can continue shopping from cart page.
    Verifies that continue shopping button returns to inventory.
    ","1306","test_continue_shopping[webkit]","tests","2026-08-15","passed","2026-08-15","","test_cart","",""
